,created_at_hour,sentiment,num_tweets
0,2021-09-12 00:00:00+00:00,Negative,7
1,2021-09-12 00:00:00+00:00,Neutral,10
2,2021-09-12 00:00:00+00:00,Positive,141
3,2021-09-12 01:00:00+00:00,Negative,6
4,2021-09-12 01:00:00+00:00,Neutral,15
5,2021-09-12 01:00:00+00:00,Positive,153
6,2021-09-12 02:00:00+00:00,Negative,8
7,2021-09-12 02:00:00+00:00,Neutral,4
8,2021-09-12 02:00:00+00:00,Positive,59
9,2021-09-12 03:00:00+00:00,Negative,3
10,2021-09-12 03:00:00+00:00,Neutral,21
11,2021-09-12 03:00:00+00:00,Positive,75
12,2021-09-12 04:00:00+00:00,Negative,1
13,2021-09-12 04:00:00+00:00,Neutral,18
14,2021-09-12 04:00:00+00:00,Positive,66
15,2021-09-12 05:00:00+00:00,Negative,3
16,2021-09-12 05:00:00+00:00,Neutral,28
17,2021-09-12 05:00:00+00:00,Positive,95
18,2021-09-12 06:00:00+00:00,Negative,8
19,2021-09-12 06:00:00+00:00,Neutral,35
20,2021-09-12 06:00:00+00:00,Positive,219
21,2021-09-12 07:00:00+00:00,Negative,10
22,2021-09-12 07:00:00+00:00,Neutral,74
23,2021-09-12 07:00:00+00:00,Positive,312
24,2021-09-12 08:00:00+00:00,Negative,12
25,2021-09-12 08:00:00+00:00,Neutral,41
26,2021-09-12 08:00:00+00:00,Positive,340
27,2021-09-12 09:00:00+00:00,Negative,10
28,2021-09-12 09:00:00+00:00,Neutral,35
29,2021-09-12 09:00:00+00:00,Positive,330
30,2021-09-12 10:00:00+00:00,Negative,4
31,2021-09-12 10:00:00+00:00,Neutral,45
32,2021-09-12 10:00:00+00:00,Positive,329
33,2021-09-12 11:00:00+00:00,Negative,7
34,2021-09-12 11:00:00+00:00,Neutral,33
35,2021-09-12 11:00:00+00:00,Positive,270
36,2021-09-12 12:00:00+00:00,Negative,30
37,2021-09-12 12:00:00+00:00,Neutral,38
38,2021-09-12 12:00:00+00:00,Positive,197
39,2021-09-12 13:00:00+00:00,Negative,39
40,2021-09-12 13:00:00+00:00,Neutral,37
41,2021-09-12 13:00:00+00:00,Positive,141
42,2021-09-12 14:00:00+00:00,Negative,9
43,2021-09-12 14:00:00+00:00,Neutral,62
44,2021-09-12 14:00:00+00:00,Positive,143
45,2021-09-12 15:00:00+00:00,Negative,11
46,2021-09-12 15:00:00+00:00,Neutral,39
47,2021-09-12 15:00:00+00:00,Positive,126
48,2021-09-12 16:00:00+00:00,Negative,20
49,2021-09-12 16:00:00+00:00,Neutral,49
50,2021-09-12 16:00:00+00:00,Positive,302
51,2021-09-12 17:00:00+00:00,Negative,5
52,2021-09-12 17:00:00+00:00,Neutral,37
53,2021-09-12 17:00:00+00:00,Positive,130
54,2021-09-12 18:00:00+00:00,Negative,13
55,2021-09-12 18:00:00+00:00,Neutral,40
56,2021-09-12 18:00:00+00:00,Positive,106
57,2021-09-12 19:00:00+00:00,Negative,2
58,2021-09-12 19:00:00+00:00,Neutral,61
59,2021-09-12 19:00:00+00:00,Positive,89
60,2021-09-12 20:00:00+00:00,Negative,40
61,2021-09-12 20:00:00+00:00,Neutral,192
62,2021-09-12 20:00:00+00:00,Positive,148
63,2021-09-12 21:00:00+00:00,Negative,151
64,2021-09-12 21:00:00+00:00,Neutral,276
65,2021-09-12 21:00:00+00:00,Positive,230
66,2021-09-12 22:00:00+00:00,Negative,263
67,2021-09-12 22:00:00+00:00,Neutral,573
68,2021-09-12 22:00:00+00:00,Positive,378
69,2021-09-12 23:00:00+00:00,Negative,140
70,2021-09-12 23:00:00+00:00,Neutral,334
71,2021-09-12 23:00:00+00:00,Positive,333
72,2021-09-13 00:00:00+00:00,Negative,23
73,2021-09-13 00:00:00+00:00,Neutral,166
74,2021-09-13 00:00:00+00:00,Positive,85
75,2021-09-13 01:00:00+00:00,Negative,13
76,2021-09-13 01:00:00+00:00,Neutral,49
77,2021-09-13 01:00:00+00:00,Positive,87
78,2021-09-13 02:00:00+00:00,Negative,17
79,2021-09-13 02:00:00+00:00,Neutral,46
80,2021-09-13 02:00:00+00:00,Positive,46
81,2021-09-13 03:00:00+00:00,Negative,18
82,2021-09-13 03:00:00+00:00,Neutral,31
83,2021-09-13 03:00:00+00:00,Positive,62
84,2021-09-13 04:00:00+00:00,Negative,10
85,2021-09-13 04:00:00+00:00,Neutral,30
86,2021-09-13 04:00:00+00:00,Positive,54
87,2021-09-13 05:00:00+00:00,Negative,14
88,2021-09-13 05:00:00+00:00,Neutral,39
89,2021-09-13 05:00:00+00:00,Positive,41
90,2021-09-13 06:00:00+00:00,Negative,9
91,2021-09-13 06:00:00+00:00,Neutral,31
92,2021-09-13 06:00:00+00:00,Positive,27
93,2021-09-13 07:00:00+00:00,Negative,9
94,2021-09-13 07:00:00+00:00,Neutral,24
95,2021-09-13 07:00:00+00:00,Positive,43
96,2021-09-13 08:00:00+00:00,Negative,10
97,2021-09-13 08:00:00+00:00,Neutral,29
98,2021-09-13 08:00:00+00:00,Positive,39
99,2021-09-13 09:00:00+00:00,Negative,5
100,2021-09-13 09:00:00+00:00,Neutral,17
101,2021-09-13 09:00:00+00:00,Positive,29
102,2021-09-13 10:00:00+00:00,Negative,6
103,2021-09-13 10:00:00+00:00,Neutral,19
104,2021-09-13 10:00:00+00:00,Positive,16
105,2021-09-13 11:00:00+00:00,Neutral,7
106,2021-09-13 11:00:00+00:00,Positive,15
107,2021-09-13 12:00:00+00:00,Negative,1
108,2021-09-13 12:00:00+00:00,Neutral,7
109,2021-09-13 12:00:00+00:00,Positive,16
110,2021-09-13 13:00:00+00:00,Negative,4
111,2021-09-13 13:00:00+00:00,Neutral,8
112,2021-09-13 13:00:00+00:00,Positive,12
113,2021-09-13 14:00:00+00:00,Negative,3
114,2021-09-13 14:00:00+00:00,Neutral,4
115,2021-09-13 14:00:00+00:00,Positive,12
116,2021-09-13 15:00:00+00:00,Negative,2
117,2021-09-13 15:00:00+00:00,Neutral,8
118,2021-09-13 15:00:00+00:00,Positive,16
119,2021-09-13 16:00:00+00:00,Negative,3
120,2021-09-13 16:00:00+00:00,Neutral,9
121,2021-09-13 16:00:00+00:00,Positive,14
122,2021-09-13 17:00:00+00:00,Negative,1
123,2021-09-13 17:00:00+00:00,Neutral,5
124,2021-09-13 17:00:00+00:00,Positive,12
125,2021-09-13 18:00:00+00:00,Negative,3
126,2021-09-13 18:00:00+00:00,Neutral,13
127,2021-09-13 18:00:00+00:00,Positive,9
128,2021-09-13 19:00:00+00:00,Negative,1
129,2021-09-13 19:00:00+00:00,Neutral,8
130,2021-09-13 19:00:00+00:00,Positive,16
131,2021-09-13 20:00:00+00:00,Negative,1
132,2021-09-13 20:00:00+00:00,Neutral,1
133,2021-09-13 20:00:00+00:00,Positive,11
134,2021-09-13 21:00:00+00:00,Neutral,2
135,2021-09-13 21:00:00+00:00,Positive,6
