,created_at_hour,id,full_text,compound,sentiment
8984,2021-09-12 00:00:00+00:00,1436841992215056394,RT @rorybremner: BREAKING: Education Secretary Gavin Williamson first to congratulate new British US Open Champion Mako Vunipola. #USOpen #…,0.7964,Positive
8983,2021-09-12 00:00:00+00:00,1436842105733885955,"RT @stephenfry: What a glorious day for two remarkable young women. Yes, it may be ‘only’ sport, but in that ‘only’ there can be found so m…",0.6956,Positive
8982,2021-09-12 00:00:00+00:00,1436842140622102531,Fantastic ❤️❤️❤️ #EmmaRadacanu #USOpenFinal #inspirational https://t.co/XYrQzEQ3U1,0.5574,Positive
8981,2021-09-12 00:00:00+00:00,1436842143918739459,RT @rorybremner: BREAKING: Education Secretary Gavin Williamson first to congratulate new British US Open Champion Mako Vunipola. #USOpen #…,0.7964,Positive
8980,2021-09-12 00:00:00+00:00,1436842157734711296,"RT @stephenfry: What a glorious day for two remarkable young women. Yes, it may be ‘only’ sport, but in that ‘only’ there can be found so m…",0.6956,Positive
8979,2021-09-12 00:00:00+00:00,1436842160368889856,RT @rorybremner: BREAKING: Education Secretary Gavin Williamson first to congratulate new British US Open Champion Mako Vunipola. #USOpen #…,0.7964,Positive
8978,2021-09-12 00:00:00+00:00,1436842237367889920,RT @rorybremner: BREAKING: Education Secretary Gavin Williamson first to congratulate new British US Open Champion Mako Vunipola. #USOpen #…,0.7964,Positive
8977,2021-09-12 00:00:00+00:00,1436842250982539270,RT @rorybremner: BREAKING: Education Secretary Gavin Williamson first to congratulate new British US Open Champion Mako Vunipola. #USOpen #…,0.7964,Positive
8976,2021-09-12 00:00:00+00:00,1436842276215566338,"RT @McLarenF1: Sending positive vibes and wishing @EmmaRaducanu all the best for today’s #USOpenFinal! 🎾🇬🇧

#SendIt, Emma! 🙌 https://t.co/T…",0.8829,Positive
8975,2021-09-12 00:00:00+00:00,1436842286852329472,"RT @stephenfry: What a glorious day for two remarkable young women. Yes, it may be ‘only’ sport, but in that ‘only’ there can be found so m…",0.6956,Positive
8974,2021-09-12 00:00:00+00:00,1436842296113188864,"RT @stephenfry: What a glorious day for two remarkable young women. Yes, it may be ‘only’ sport, but in that ‘only’ there can be found so m…",0.6956,Positive
8973,2021-09-12 00:00:00+00:00,1436842313100238851,"RT @stephenfry: What a glorious day for two remarkable young women. Yes, it may be ‘only’ sport, but in that ‘only’ there can be found so m…",0.6956,Positive
8972,2021-09-12 00:00:00+00:00,1436842327356723205,RT @rorybremner: BREAKING: Education Secretary Gavin Williamson first to congratulate new British US Open Champion Mako Vunipola. #USOpen #…,0.7964,Positive
8971,2021-09-12 00:00:00+00:00,1436842350467223552,"Piers Morgan : Emma Raducanu won today at the #USOpenFinal  because she took my advice. 

Emma Raducanu : https://t.co/euWaxqdLXz",0.5719,Positive
8970,2021-09-12 00:00:00+00:00,1436842368058200066,"RT @DaveTavFulton: Two classy young female athletes, articulate, talented, fiercely determined. Great #USOpenFinal @EmmaRaducanu superstar",0.9136,Positive
8969,2021-09-12 00:00:00+00:00,1436842406528397313,Like the refreshing new stars in women's tennis. Wake up men! #Raducanu #Fernandez #USOpenFinal,0.4199,Positive
8968,2021-09-12 00:00:00+00:00,1436842411989291008,RT @rorybremner: BREAKING: Education Secretary Gavin Williamson first to congratulate new British US Open Champion Mako Vunipola. #USOpen #…,0.7964,Positive
8967,2021-09-12 00:00:00+00:00,1436842443010285573,"@TeenieTV @Goodable @BillieJeanKing Less work? Did you know that Leylah took more time on the court than Medvedev to get to this year's US Open finals? And men have 5 sets. You're not really a feminist, you're being ignorant right now. #usopen #USOpenFinal  https://t.co/go0PniwUcP",-0.3527,Negative
8966,2021-09-12 00:00:00+00:00,1436842463377952771,"Dear oh dear... always after a slice of controversy and publicity eh @piersmorgan!!

Just be pleased for once about someone who has done something brilliant!!

#Raducanu #USOpenFinal #USOpen https://t.co/GJHXXClIe2",0.8877,Positive
8965,2021-09-12 00:00:00+00:00,1436842468595621889,RT @rorybremner: BREAKING: Education Secretary Gavin Williamson first to congratulate new British US Open Champion Mako Vunipola. #USOpen #…,0.7964,Positive
8964,2021-09-12 00:00:00+00:00,1436842477433102337,"RT @stephenfry: What a glorious day for two remarkable young women. Yes, it may be ‘only’ sport, but in that ‘only’ there can be found so m…",0.6956,Positive
8963,2021-09-12 00:00:00+00:00,1436842513063682051,RT @rorybremner: BREAKING: Education Secretary Gavin Williamson first to congratulate new British US Open Champion Mako Vunipola. #USOpen #…,0.7964,Positive
8962,2021-09-12 00:00:00+00:00,1436842527739482117,"RT @sharrond62: What composure from both ladies… a joy to watch &amp; listen. Well done Emma, the future is bright 🇬🇧 #USOpenFinal #EmmaRaducanu",0.8316,Positive
8961,2021-09-12 00:00:00+00:00,1436842537092886528,Remember what @JohnMcEnroe said about @EmmaRaducanu at Wimbledon… pictured below is the ultimate mic drop. #Raducanu #USOpenFinal #EmmaRaducanu https://t.co/7ukb6fwAAT,-0.2732,Negative
8960,2021-09-12 00:05:00+00:00,1436842651995750407,"@msporthouse @EmmaRaducanu Love it! she was B. Brilliant❤ We watched history in the making, she played with maturity and precision 🎾❤️🙌🏾 #USOpenFinal #tennis",0.784,Positive
8959,2021-09-12 00:05:00+00:00,1436842676326907906,RT @MrKennethClarke: Priti Patel right now. #USOpen #USOpenFinal #USOpen2021 https://t.co/eFSlW1IWom,0.0,Neutral
8958,2021-09-12 00:05:00+00:00,1436842743301488641,The Brits and Chinese are gonna fight it out over Emma #USOpenFinal,-0.3818,Negative
8957,2021-09-12 00:05:00+00:00,1436842757558050817,RT @MrKennethClarke: Priti Patel right now. #USOpen #USOpenFinal #USOpen2021 https://t.co/eFSlW1IWom,0.0,Neutral
8956,2021-09-12 00:05:00+00:00,1436842812885061634,"RT @stephenfry: What a glorious day for two remarkable young women. Yes, it may be ‘only’ sport, but in that ‘only’ there can be found so m…",0.6956,Positive
