,created_at_hour,id,full_text,compound,sentiment
3394,2021-09-12 21:30:00+00:00,1437166631214485506,"I'm not getting my hopes high until the match is finished. Novak will be the favorite even if the scoreline is 6-4 6-4 5-4 in Medvedev's favor

#USOpen 
#USOpenFinal",0.5216,Positive
3393,2021-09-12 21:30:00+00:00,1437166687615275009,"Djokovic smashed a racquet 😂😭

The game's getting interesting now. Tonight's gonna be funn😍

#USOpenFinal https://t.co/idBP2M1T1K",0.4019,Positive
3392,2021-09-12 21:30:00+00:00,1437166700823207944,Medvedev is locked in #USOpenFinal,0.0,Neutral
3391,2021-09-12 21:30:00+00:00,1437166714458972160,"Djokovic is frustrated, he may never win another grand slam in his career and it's so painful to watch #Djokovic #USOpenFinal #DjokovicvsMedvedev",-0.9359,Negative
3390,2021-09-12 21:30:00+00:00,1437166740132306947,"RT @Djokovic_es: Quiebra Medvedev.. VAMOS NOVAK 🐐!!! A RECUPERAR!!! 🦾🔥

3-2/2S

IDEMOOO!!! 🦾♥️🧠🔥

#Djokovic VS #Medvedev
#USOpenFinal #Usop…",0.0,Neutral
3389,2021-09-12 21:30:00+00:00,1437166749137321985,"Crazy crazy match!!!
Medvedev vs djokovic,worth waking up whole night. #USOpenFinal",-0.6884,Negative
3388,2021-09-12 21:30:00+00:00,1437166751821619202,"And the 🐻 seizes the boomerang break. 

Getting late early for the history chase. #USOpen #USOpen2021 #USOpenFinal https://t.co/De3UXtpUlk",0.0,Neutral
3387,2021-09-12 21:30:00+00:00,1437166756745945090,जोकोभिच दाजुले ब्याट थेंचार्नु भो भुईंमा । #USOpenFinal,0.0,Neutral
3386,2021-09-12 21:30:00+00:00,1437166776878567431,RT @rorybremner: BREAKING: Education Secretary Gavin Williamson first to congratulate new British US Open Champion Mako Vunipola. #USOpen #…,0.7964,Positive
3385,2021-09-12 21:30:00+00:00,1437166819060633601,#USOpenfinal Medvedev Djokovic maçı Medvedeve doğru gidiyor. Zverev ile olan maçında 55 vuruşlu ralli bacaklarını yormuş. Bir de kariyerimin en önemli maçı diyerek kendisini baskı altına aldı. #tenissever @DjokerNole @DaniilMedwed,0.0,Neutral
3384,2021-09-12 21:30:00+00:00,1437166831748456469,#USOpenFinal @LuisAlvarez_1 @JoseLuisClerc veo a Nole peor que en Tokio y @DaniilMedwed no le perdona una.,-0.296,Negative
3383,2021-09-12 21:30:00+00:00,1437166843630952448,And again… Djokovic @DjokerNole really needs an anger management course. Scared the shit out of that poor ball girl pretending to hit the ball towards her. You are a total asshole and no example to Tennis. #anger #Djokovic #USOpen2021 #USOpenFinal,-0.7759,Negative
3382,2021-09-12 21:30:00+00:00,1437166894994370560,"Ne vole ni jednog ni drugog, ali boljeg ni približno nemaju na ovom betonu. 🇷🇸🇷🇺#USOpen #USOpenFinal",0.0,Neutral
3381,2021-09-12 21:30:00+00:00,1437166897146040322,RT @ThokoPooley: Oh dear! @DjokerNole is losing his cool - he’s just clocked a racquet violation. @DaniilMedwed not making his life easy at…,0.3164,Positive
3380,2021-09-12 21:30:00+00:00,1437166905404579841,"madre mía Medvedev qué manera de jugar al tenis, por favor. #USOpen #USOpenFinal",0.4019,Positive
3379,2021-09-12 21:30:00+00:00,1437166917287088128,"@AbeKuijl @KrBoogie 
Wordt het niet eens tijd dat het tijdens een game opzettelijk stukslaan van het eigen racket direct wordt bestraft met het verlies van die game? #USOpen2021 #USOpenFinal",-0.5994,Negative
3378,2021-09-12 21:30:00+00:00,1437166936840970243,LOVING  the #USOpenFinal  what a match 🎾🎾,0.6841,Positive
