,created_at_hour,id,full_text,compound,sentiment
0,2021-09-12 21:30:00+00:00,1437166819060633601,#USOpenfinal Medvedev Djokovic maçı Medvedeve doğru gidiyor. Zverev ile olan maçında 55 vuruşlu ralli bacaklarını yormuş. Bir de kariyerimin en önemli maçı diyerek kendisini baskı altına aldı. #tenissever @DjokerNole @DaniilMedwed,0.0,Neutral
1,2021-09-12 21:30:00+00:00,1437166831748456469,#USOpenFinal @LuisAlvarez_1 @JoseLuisClerc veo a Nole peor que en Tokio y @DaniilMedwed no le perdona una.,-0.296,Negative
2,2021-09-12 21:30:00+00:00,1437166897146040322,RT @ThokoPooley: Oh dear! @DjokerNole is losing his cool - he’s just clocked a racquet violation. @DaniilMedwed not making his life easy at…,0.3164,Positive
3,2021-09-12 21:35:00+00:00,1437167456687173636,baştan başa tarihsin. ama Nadal’ı bu kadar geçmeni pek sevmiyorum. O yüzden ‘Takvim Grand Slam’i yapmasan daha iyi olacak @DjokerNole / O yüzden saldır @DaniilMedwed #USOpen  #USOpenFinal,0.4588,Positive
4,2021-09-12 21:35:00+00:00,1437167682701365252,@DaniilMedwed is playing some wonderful tennis against @DjokerNole #USOpenFinal,0.6705,Positive
5,2021-09-12 21:40:00+00:00,1437168587018588164,"Who’s gonna win today?
@DjokerNole vs. @DaniilMedwed 

#USOpen2021 #USOpen #USOpenFinal #USOpenTennis 

Retweet for #Djokovic Like for #Medvedev",0.743,Positive
6,2021-09-12 21:40:00+00:00,1437168637408948233,"El serbio @DjokerNole en desventaja en el segundo set, rompió su raqueta. @DaniilMedwed    en comando 4-3. El público no lo aplaudió. Abucheó a #Djokovic #USOpen #USOpen2021 #USOpenFinal #USOpenTennis #tennis 🎾 https://t.co/TUSzG5ePa8",-0.296,Negative
7,2021-09-12 21:40:00+00:00,1437169744264695808,"He ended up winning the crowd🙆🏾‍♂️
@DaniilMedwed 💪🏽
#USOpen2021
#USOpenFinal",0.5267,Positive
8,2021-09-12 21:45:00+00:00,1437170638427340800,@DaniilMedwed is playing like an assassin on a mission! What lethal serves n lightning fast forehands! @DjokerNole is finding it tough to get past this Russian 🇷🇺 juggernaut. What a match! #USOpen #USOpenFinal #USOpen2021 #Medvedev #Djokovic,0.5684,Positive
9,2021-09-12 21:45:00+00:00,1437170653963210757,"Fino ad ora un #Medvedev perfetto.
Non ricordo un gratuito in 2 set.
#USOpen #USOpenFinal #USOpen2021 
@DaniilMedwed",0.0,Neutral
10,2021-09-12 21:50:00+00:00,1437171228717076487,"Impressive hitting by @DaniilMedwed to go 2 sets up against @DjokerNole 

#USOpen #USOpenFinal #USOpen2021 #bbctennis @usopen @C4Sport @primevideosport @PrimeVideo @SkySportsNews #Djokovic #Medvedev",0.5106,Positive
11,2021-09-12 21:50:00+00:00,1437171257842311173,@DaniilMedwed c’est maintenant qu’il faut tenir et être encore plus fort !!! Le 3ème set est le plus dur à prendre à Novak #USOpen  #USOpenFinal #homeoftennis Allezzzzzz,0.0,Neutral
12,2021-09-12 21:50:00+00:00,1437171480081600514,Come on @DaniilMedwed 🎾 #USOpenFinal,0.0,Neutral
13,2021-09-12 21:50:00+00:00,1437171587992768512,@DaniilMedwed leading by two sets to none against @DjokerNole #USOpenFinal,0.0,Neutral
14,2021-09-12 21:50:00+00:00,1437171606732816384,"@DaniilMedwed 👀👀👀
#USOpen #USOpenFinal",0.0,Neutral
15,2021-09-12 21:50:00+00:00,1437171625221369862,"@DaniilMedwed smelling the glory🔥🔥🔥🔥🔥🔥
#USOpen #USOpen2021 #USOpenFinal",0.0,Neutral
16,2021-09-12 21:50:00+00:00,1437171645303570434,Alright @DaniilMedwed come on get in 3 straight sets. #USOpen2021 #USOpenFinal,0.4404,Positive
17,2021-09-12 21:50:00+00:00,1437171679189426187,"@DaniilMedwed is on top.
Wom the first 2 sets 6-4 6-4 against the world no.1 @DjokerNole 

#USOpenFinal #USOpen",0.2023,Positive
18,2021-09-12 21:50:00+00:00,1437171766124711937,"World no 2 @DaniilMedwed is 1 set away from winning the @usopen title against world no 1 @DjokerNole . 

He leads by 6-4 , 6-4 . 

He’s playing a brilliant game against a tough opponent. 

#USOpen2021 #USOpenFinal",0.6249,Positive
19,2021-09-12 21:50:00+00:00,1437171766158192647,"The ice cold @DaniilMedwed barely breaks into sweat, seems determined to stop @DjokerNole as he takes the second set 6-4 to lead 2 sets to love 6-4, 6-4, triggers an unfortunate racquet abuse violation from the Djoker

@usopen #USOpenFinal #USOpen2021 https://t.co/84Tzwzn4hn",-0.7184,Negative
20,2021-09-12 21:50:00+00:00,1437171822269812737,@DaniilMedwed looking really good today #USOpen #USOpen2021 #USOpenFinal Novak out of sorts and a big mountain to climb,0.4927,Positive
21,2021-09-12 21:50:00+00:00,1437171842507321345,👏🏻👏🏻👏🏻 It’s  @DaniilMedwed time!! 💪🏻 #USOpen #USOpenFinal https://t.co/CYJ66VbzyY,0.0,Neutral
22,2021-09-12 21:50:00+00:00,1437171922459103237,@atptour @DaniilMedwed @usopen From Russia🇷🇺 with Love-2 Medvedev! #USOpenFinal,0.0,Neutral
