,created_at_hour,id,full_text,compound,sentiment
1373,2021-09-13 00:00:00+00:00,1437196834582286337,"Fantástico @DaniilMedwed en la #USOpenFinal. El público, lamentable. #USOpen #tenis https://t.co/DVMXUh3RPx",-0.3612,Negative
1372,2021-09-13 00:00:00+00:00,1437197010319417349,"RT @wendt_lynn: @Liana___K @Cathyor66 We need a proper ending.

#SidlotteForever #JASanditon #savesidneyparker #LastAustenHero @masterpiece…",0.0,Neutral
1371,2021-09-13 00:00:00+00:00,1437197119350312960,"🗽En Nueva York, La Ciudad de los Sueños Posibles, Daniil Medvedev cumplió el suyo y se consagró Campeón del #USOpen 

La Máquina Rusa 🤖

El primero de muchos @DaniilMedwed 

#USOpenFinal #USOpenNaESPN #USOpen2021 #USOpen2021Final 

📸: @usopen https://t.co/jNkfEAgyuk",0.0,Neutral
1370,2021-09-13 00:00:00+00:00,1437197157262508034,"May be God has answered the question who is GOAT by keeping all 3 - Federer, Rafal and Djokovic at 20 titles.
#USOpen2021 
#USOpenFinal 
#GOAT",0.2732,Positive
1369,2021-09-13 00:00:00+00:00,1437197158667665411,RT @Nengwe_Macheza: @zandatoto are you watching the epic #USOpenFinal ?,0.0,Neutral
1368,2021-09-13 00:00:00+00:00,1437197247310090240,@TennisTV @DjokerNole @DaniilMedwed Atleast he finally won over the New York crowd #USOpenFinal,0.5719,Positive
1367,2021-09-13 00:00:00+00:00,1437197247914160129,RT @diginetbar: Promocion: De un paso a la #transformacion #Digital #DigitalTransformation  de su empresa Administramos sus #redes #sociale…,0.0,Neutral
1366,2021-09-13 00:00:00+00:00,1437197310430048261,"RT @stephenfry: What a glorious day for two remarkable young women. Yes, it may be ‘only’ sport, but in that ‘only’ there can be found so m…",0.6956,Positive
1365,2021-09-13 00:00:00+00:00,1437197365560025090,"@usopen #DaniilMedvedev 

The 3rd #Russian in History to win the Grand Slam Title in Men's competition

2nd Russian to Win The #USOpen Op after #maratsafin in 2000 who beat legend #PeteSampras

2nd Player after #Nadal to beat #Djokovic in last 10 Grand Slam Finals.

#USOpenFinal https://t.co/rEIgwnRKMn",0.8555,Positive
1364,2021-09-13 00:00:00+00:00,1437197478672146434,"RT @manueleinstell: Rafael Nadal and Roger Federer after Novak fails to make it 21 
#USOpen2021 #USOpen #USOpenFinal https://t.co/c8FJLYtlNA",-0.4215,Negative
1363,2021-09-13 00:00:00+00:00,1437197554698133506,RT @Cartoon4sale: Mac on #EmmaRaducanu #USOpenFinal #USOpen - political cartoon gallery in London https://t.co/dePcTdnXF6 https://t.co/5siz…,0.0,Neutral
1362,2021-09-13 00:00:00+00:00,1437197703214026752,"Novak Djokovic vs Daniil Medvedev US Open Final 2021 full match Highlights HD
#novakdjokovic #Medvedev #GrandSlam #USOpen2021 #USOpenFinal 
👇👇👇
https://t.co/rj89xSWvQt",0.0,Neutral
1361,2021-09-13 00:00:00+00:00,1437198050888454148,"😘😘😘🏆🏆🏆🎾🎾🎾🇷🇺🇷🇺🇷🇺
#USOpen #USOpenFinal #USOpen2021 https://t.co/NBq7RMnXO2",0.0,Neutral
1360,2021-09-13 00:00:00+00:00,1437198080642674688,"I actually feel for the Djoker. He was so close to get all four slams. Nonetheless what a legend. Congrats to Dani. Deserved it. Did it in 3.

#USOpen | #USOpenFinal",0.5267,Positive
1359,2021-09-13 00:00:00+00:00,1437198104604856329,"Explotó el vivo en el Canal 🤯
El análisis de la Final entre Medvedev y Djokovic!
#USOpen #USOpen2021 #DjokovicMedvedev #USOpenFinal
#https://youtu.be/_Yv51o9lxig",0.0,Neutral
1358,2021-09-13 00:00:00+00:00,1437198155905392643,"RT @parthpunter: Got to feel for Djokovic. Rare to see him tear up. But a gracious speech, as always.

I think Djokovic was put off by the…",0.7096,Positive
1357,2021-09-13 00:00:00+00:00,1437198187924758528,RT @rorybremner: BREAKING: Education Secretary Gavin Williamson first to congratulate new British US Open Champion Mako Vunipola. #USOpen #…,0.7964,Positive
