,created_at_hour,id,full_text,compound,sentiment
0,2021-09-13 00:00:00+00:00,1437196834582286337,"Fantástico @DaniilMedwed en la #USOpenFinal. El público, lamentable. #USOpen #tenis https://t.co/DVMXUh3RPx",-0.3612,Negative
1,2021-09-13 00:00:00+00:00,1437197119350312960,"🗽En Nueva York, La Ciudad de los Sueños Posibles, Daniil Medvedev cumplió el suyo y se consagró Campeón del #USOpen 

La Máquina Rusa 🤖

El primero de muchos @DaniilMedwed 

#USOpenFinal #USOpenNaESPN #USOpen2021 #USOpen2021Final 

📸: @usopen https://t.co/jNkfEAgyuk",0.0,Neutral
2,2021-09-13 00:00:00+00:00,1437197247310090240,@TennisTV @DjokerNole @DaniilMedwed Atleast he finally won over the New York crowd #USOpenFinal,0.5719,Positive
3,2021-09-13 00:00:00+00:00,1437198316836634625,Cant believe @DaniilMedwed beat @DjokerNole in straight sets #USOpen #USOpenFinal #USOpen2021,0.2263,Positive
4,2021-09-13 00:00:00+00:00,1437199210898731008,@DaniilMedwed FIFA legend! “Only legends will understand”. You did that celebration lol. L2 RS left. Brick fall! Congrats #USOpen  #USOpenFinal,0.7772,Positive
5,2021-09-13 00:00:00+00:00,1437200303590297609,"Congrats👏 @DaniilMedwed for your 1st Grandslam, the way you defeted @DjokerNole in all 3 sets, it's unimaginable...Hope the grand slam numbrs conitnues in upcoming years...All The BEST😊

#USOpenFinal #Djokovic #USOpen #USOpen2021 #tennisxiuperstar https://t.co/wcXTBLpaPB",0.1027,Positive
6,2021-09-13 00:00:00+00:00,1437200593433542657,"@DaniilMedwed  a @DjokerNole  tras ganar el #USOpenFinal  ""Para mí eres y serás el mejor del mundo"". 

Djokovic se quedó corto en la final del US Open al sucumbir 6-4, 6-4, 6-4 ante un rival ruso que reclamó su primera corona en uno de los grandes eventos. https://t.co/Lw6gfiifFh",0.0,Neutral
7,2021-09-13 00:00:00+00:00,1437201196532461574,"Djokovic lost that too in a straight set. Hard to believe. Huge Congratulations @DaniilMedwed . What a win. What a memorable and remarkable way of winning 1st ever GS by defeating best of this game. 

#USOpenFinal #USOpen",0.9571,Positive
8,2021-09-13 00:00:00+00:00,1437203387733454851,"The Champ. 
First of the new kids on the block to actually beat one of the Big 3 in a Grand Slam Final. 
Congratulations @DaniilMedwed #USOpen #USOpenFinal #Champion https://t.co/5TwIaOxDAp",0.6705,Positive
9,2021-09-13 00:00:00+00:00,1437203877678432258,Well done @DaniilMedwed !  Congrats on your first mayor! #USOpenFinal #USOpen https://t.co/PA1JAQfYSC,0.7256,Positive
10,2021-09-13 00:00:00+00:00,1437203984960290819,A First Grand Slam title for Daniil Medvedev 🏆🥇🎾  @DaniilMedwed #USOpen #USOpen2021 #USOpenFinal https://t.co/ADKivORvP6,0.1027,Positive
