,created_at_hour,id,full_text,compound,sentiment
0,2021-09-12 02:00:00+00:00,1436872100468297729,"@DaniilMedwed vs @DjokerNole mens singles final at the #USOpenFinal

#Lacoste will be the true champion in the men's singles final as both players are sponsored by one brand",0.7717,Positive
1,2021-09-12 04:00:00+00:00,1436904745990451204,"@DylanAlcott @SBSOnDemand We'll also have a full replay &amp; mini match of Dylan's WC Quad Singles final tomorrow morning via @SBSOnDemand, with a replay on @SBS from 12:30pm (AEST) after #USOpenFinal @DjokerNole v @DaniilMedwed as the Serb goes for 21 major titles &amp; a 52-year calendar grand slam first! 🙌🎾",0.1759,Positive
2,2021-09-12 08:00:00+00:00,1436968633234694150,"King @DjokerNole has a chance to make history: complete the calendar-year Grand Slam &amp; break a tie with @rogerfederer and @RafaelNadal ,who also have 20 major titles,for the most in men's tennis history. Will he beat @DaniilMedwed ? #USOpen #USOpen2021 #tennis #USOpenFinal",0.34,Positive
3,2021-09-12 11:00:00+00:00,1437007241262080010,"Análisis de la final masculina #usopen a falta de 9h para que comience. Nueve horas para la historia.
🇷🇺 @DaniilMedwed vs @DjokerNole 🇷🇸 
#USOpenFinal #Djokovic #Medvedev 

 https://t.co/2PZg1mvkJA",0.0,Neutral
4,2021-09-12 11:00:00+00:00,1437011498782523393,https://t.co/wtoZw0WtmQ - my🎾#Blog on @Sportcoio all set for a historic match as @DjokerNole takes on @DaniilMedwed in the #Finals of the @usopen #USOpen #USOpen2021 #USOpenFinal #NewYork #Serbia #Russia #Djokovic #Medvedev #NextGen #GOAT do read🙂,0.0,Neutral
5,2021-09-12 14:00:00+00:00,1437060400638566413,"Hope @DjokerNole gets the win over @DaniilMedwed tonight. It will take him one step ahead of @rogerfederer and @RafaelNadal 🎾
#NoleFam #USOpenFinal",0.7717,Positive
6,2021-09-12 16:00:00+00:00,1437081327509987329,"@DjokerNole is already a legend. he doesn’t NEED 21st grandslam to prove to himself that he is a one. He WANT one so we (the rest of the world) can settle the debate of G.O.A.T. and move on with our lives

Thats said, we want a good #USOpenFinal LETS GO @DaniilMedwed @DjokerNole",0.6408,Positive
7,2021-09-12 18:00:00+00:00,1437120527148195846,Bu maç boş geçmez beklemedeyim #USOpen   #USOpen2021 #USOpenFinal  #USOpenTennis @DjokerNole &amp; @DaniilMedwed https://t.co/4OMY0vcNpE,0.0,Neutral
8,2021-09-12 19:00:00+00:00,1437130616781393932,"20 GS titles is a Jinx. Federer couldn't cross it, Nadal finding it difficult to overcome. Expect same with Djokovic. I expect Medvedev to win.
#USOpen2021 #USOpen #USOpenFinal @rogerfederer @RafaelNadal @DjokerNole @DaniilMedwed",0.3182,Positive
9,2021-09-12 19:00:00+00:00,1437132690185244681,"🎾 @usopen 🇺🇸

📅 Septiembre 12

@DaniilMedwed 🆚 @DjokerNole 

⏰ 15:00hrs.(CDMX)
🇲🇽 En México
📺 ESPN 2, ESPN Play, Star+

#USOpen #ATP #USOpenFinal",0.34,Positive
